billing_group_id,code,name,full_name
210,5.6040.020,"Telekran (Rad) TL 20,0 - 34,9 t","5.6040.020 - Telekran (Rad) TL 20,0 - 34,9 t"
211,5.6040.030,"Telekran (Rad) TL 35,0 - 44,9 t","5.6040.030 - Telekran (Rad) TL 35,0 - 44,9 t"
212,5.6050.010,"Telekran (Kette) TL 15,0 - 19,9 t","5.6050.010 - Telekran (Kette) TL 15,0 - 19,9 t"
213,5.6050.020,"Telekran (Kette) TL 29,0 - 34,9 t","5.6050.020 - Telekran (Kette) TL 29,0 - 34,9 t"
214,5.6050.030,"Telekran (Kette) TL 35,0 - 44,9 t","5.6050.030 - Telekran (Kette) TL 35,0 - 44,9 t"
215,5.6050.040,"Telekran (Kette) TL 45,0 - 54,9 t","5.6050.040 - Telekran (Kette) TL 45,0 - 54,9 t"
216,5.6060.010,"Spitzenausleger für Telekran (Kette) TL 35,0 - 44,9 t","5.6060.010 - Spitzenausleger für Telekran (Kette) TL 35,0 - 44,9 t"
217,5.6070.010,"Miniraupenkran TL 2,0 - 2,9 t","5.6070.010 - Miniraupenkran TL 2,0 - 2,9 t"
218,5.7010.010,"Teleskoplader (starr) TL 1,0 - 1,9 t","5.7010.010 - Teleskoplader (starr) TL 1,0 - 1,9 t"
219,5.7010.020,"Teleskoplader (starr) TL 2,0 - 2,9 t","5.7010.020 - Teleskoplader (starr) TL 2,0 - 2,9 t"
220,5.7010.040,"Teleskoplader (starr) TL 4,5 - 5,4 t","5.7010.040 - Teleskoplader (starr) TL 4,5 - 5,4 t"
221,5.8010.010,Standardschaufel für Teleskoplader,5.8010.010 - Standardschaufel für Teleskoplader
222,5.8020.010,Palettengabel für Teleskoplader,5.8020.010 - Palettengabel für Teleskoplader
223,5.8030.010,Lasthaken für Teleskoplader,5.8030.010 - Lasthaken für Teleskoplader
224,6.1010.010,Kernbohrgerät bis Ø250 mm,6.1010.010 - Kernbohrgerät bis Ø250 mm
225,6.6010.010,Bautrockner,6.6010.010 - Bautrockner
226,7.2010.030,"Elektrohammer bis 9,0 - 10,9 kg","7.2010.030 - Elektrohammer bis 9,0 - 10,9 kg"
227,7.2010.040,"Elektrohammer bis 20,0 - 25,9 kg","7.2010.040 - Elektrohammer bis 20,0 - 25,9 kg"
228,8.1010.010,Tischsäge bis Ø400 mm,8.1010.010 - Tischsäge bis Ø400 mm
229,8.4010.010,Holzhäcksler Anhänger,8.4010.010 - Holzhäcksler Anhänger
230,9.1080.010,"Förderband 18,0 - 21,9 m","9.1080.010 - Förderband 18,0 - 21,9 m"
231,9.9999.999,Sondervermietung,9.9999.999 - Sondervermietung
